cell,child_canon,child_t1_floored,child_t1_raw,outcome,step
connection/3/1,cafc88a1edb1eaccf5ab751c4bce35dc040f2c0f3453f316534d2f24fbb7b4dc,0.16666666666666663,0.16666666666666663,lost_first_batch,209
territory/4/4,3c5ac06326b637dca5f77aa97e94fea9e03eeeaad4102491febc857b4c15fcd1,0.0,-0.3958333333333333,lost_first_batch,210
territory/4/3,884ce7173010e01fc1464927a6dcba503a7889ef9c56dc0232ef092ee12ca4ab,0.3125,0.3125,replaced,211
threshold/4/1,a22083d9b39619482f3f8bc9789f2d2fbc0e57aae9c832e5e5547f378aa59a61,0.0,-0.22916666666666669,guard_vetoed_tilt,212
territory/3/2,3a84ea635189b972e812bed8624381cad3ffa0c6b9d91e3e9f06c587e7bb3010,0.02083333333333337,0.02083333333333337,t1_invalid_draw_majority,213
territory/3/2,e505a78a7a8f337a17b0db980c84f895c4d8b833bd8486814bb5b3d15361d669,0.125,0.125,lost_first_batch,214
elimination/0/0,b76b18fd09abd04b0e7ea4e53e95e9b8b850ae0927f142a6fe2c377ceb41f8e1,0.0,0.0,t1_invalid_too_short,215
elimination/0/0,b3d1a863029ddacf3085cd03a804ebed2e6c6ec8c11f067934dd4ccb456d41de,0.0,0.0,t1_invalid_too_short,216
connection/3/3,c89bd8c17f8c727c5ae75450fc6a564d1f8aa7057d624d5c3845f8a34d9595a5,0.25,0.25,lost_first_batch,217
connection/2/1,f4bec34ab7fd8eb234698cffce9c083591a0279e020d92023a52fe7f77c16fa9,0.02083333333333337,0.02083333333333337,t1_invalid_draw_majority,218
threshold/0/0,01e7e77b67d8a079ee40c1d7ffd3a28366d2bde7cf81e82014341effa1f0cb8e,0.0,0.0,t1_invalid_draw_majority,219
territory/0/0,38b20aa955841513045db76462f53b2730ca04c03c38006b45a040859a5eb50e,0.0,0.0,t1_invalid_draw_majority,220
connection/2/2,2a5523908a9926621c527998c35b25b0cd9c643f8f81f4b9c222b89005612997,0.47916666666666663,0.47916666666666663,lost_first_batch,221
