section,arm,canon,family,cell,t1_raw,t1_floored,non_draw_share,mean_length,full_conv_mean_floored,n_full_conv,valid,outcome
final_elite,M,91f81c072bf996ee,territory,territory/3/1,0.500000,0.500000,,,0.489583,1,,
final_elite,M,60be24e4f0069e67,territory,territory/3/2,0.479167,0.479167,,,0.489583,2,,
final_elite,M,627eb70b77ed524d,territory,territory/4/0,0.500000,0.500000,,,0.500000,2,,
final_elite,M,af20a5d893042a1b,territory,territory/4/1,0.500000,0.500000,,,0.500000,2,,
final_elite,M,4bd427aed7def9c0,territory,territory/4/2,0.500000,0.500000,,,0.489583,1,,
final_elite,M,764ad3ae50ec0f7d,territory,territory/4/3,0.479167,0.479167,,,0.500000,1,,
final_elite,M,1c55e13164aebb8a,territory,territory/4/4,0.437500,0.437500,,,0.447917,1,,
final_elite,R,cda5f835d37a4f74,connection,connection/1/1,0.500000,0.500000,,,0.500000,2,,
final_elite,R,2a48b047cfedb14c,connection,connection/1/2,0.500000,0.500000,,,0.494792,2,,
final_elite,R,5e7b8899abde1216,connection,connection/2/1,0.500000,0.500000,,,0.432292,2,,
final_elite,R,5b387b192e6d5dc5,connection,connection/2/2,0.479167,0.479167,,,0.489583,2,,
final_elite,R,17f660bc480f84f1,connection,connection/3/1,0.500000,0.500000,,,0.468750,2,,
final_elite,R,fd130af745a96a78,connection,connection/3/2,0.500000,0.500000,,,0.489583,2,,
final_elite,R,7c9c662541824dba,connection,connection/3/3,0.395833,0.395833,,,0.468750,2,,
final_elite,R,b461c5160c5ed042,connection,connection/4/1,0.500000,0.500000,,,0.447917,2,,
final_elite,R,386bca7f04e63df7,connection,connection/4/2,0.500000,0.500000,,,0.458333,1,,
final_elite,R,a60d4462eae61b5e,connection,connection/4/3,0.250000,0.250000,,,0.401042,2,,
final_elite,R,21e02e73648b3c47,territory,territory/3/1,0.416667,0.416667,,,0.458333,2,,
final_elite,R,7e9d7eb3a5e2394e,territory,territory/3/2,0.458333,0.458333,,,0.484375,2,,
final_elite,R,ea46d5584c71381a,territory,territory/4/2,0.479167,0.479167,,,0.479167,1,,
final_elite,R,948104aadf03536e,territory,territory/4/3,0.416667,0.416667,,,0.427083,1,,
final_elite,R,a0b482b5d84701ee,territory,territory/4/4,0.437500,0.437500,,,0.364583,1,,
final_elite,R,75667a0d1217ffe5,threshold,threshold/4/2,0.500000,0.500000,,,0.489583,2,,
final_elite,R,a6b767b0c07daf34,threshold,threshold/4/3,0.270833,0.270833,,,0.322917,1,,
