section,arm,canon,family,cell,t1_raw,t1_floored,non_draw_share,mean_length,full_conv_mean_floored,n_full_conv,valid,outcome
stage0,,74015607e439c673,territory,territory/4/3,0.020833,0.020833,0.0417,65.71,,,False,draw_majority
stage0,,3859a19474a4317e,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,6675bcd98743ec50,territory,territory/4/4,0.041667,0.041667,0.1667,72.54,,,False,draw_majority
stage0,,0cb776ad5164cf68,connection,connection/3/1,0.291667,0.291667,1.0000,14.46,,,True,
stage0,,8f0dcbb08314d2dd,connection,connection/4/2,0.166667,0.166667,1.0000,23.75,,,True,
stage0,,07da3bcd9b15eb9a,connection,connection/1/2,0.458333,0.458333,0.9167,35.17,,,True,
stage0,,4e2cb390d69b4379,connection,connection/3/1,0.083333,0.083333,1.0000,24.83,,,True,
stage0,,9cbc9ed9ad6a0ee1,threshold,threshold/4/2,-0.229167,0.000000,0.8750,54.83,,,True,
stage0,,f21aced74d817392,connection,connection/3/2,0.333333,0.333333,0.8333,46.88,,,True,
stage0,,0ea6970e666e8a0a,connection,connection/3/1,0.458333,0.458333,1.0000,12.79,,,True,
stage0,,23d6fc9e5232617f,connection,connection/4/1,0.166667,0.166667,1.0000,12.67,,,True,
stage0,,f46823107cc610a8,connection,connection/4/1,0.166667,0.166667,1.0000,15.67,,,True,
stage0,,a54f4b3506b62843,connection,connection/4/1,0.375000,0.375000,1.0000,43.75,,,True,
stage0,,ba341cef21a96cc8,territory,territory/4/2,0.041667,0.041667,1.0000,50.88,,,True,
stage0,,79e8af6789d9c179,connection,connection/4/1,0.375000,0.375000,1.0000,8.46,,,True,
stage0,,7325b6a7c12007bf,territory,territory/0/0,0.000000,0.000000,0.0000,2.00,,,False,draw_majority
stage0,,c91d0bededd1b336,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,913a8567b7e8a09e,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,4cbd49d74717f60e,connection,connection/4/1,0.208333,0.208333,1.0000,32.79,,,True,
stage0,,9808f5942b294e47,territory,territory/1/0,0.000000,0.000000,0.0000,16.25,,,False,draw_majority
stage0,,ffe33dc526e2121d,connection,connection/1/0,0.000000,0.000000,0.0000,7.00,,,False,draw_majority
stage0,,4d9c5a8671808e76,threshold,threshold/3/1,0.000000,0.000000,0.0000,54.17,,,False,draw_majority
stage0,,1914e1dbed0f0809,connection,connection/3/3,0.291667,0.291667,0.5833,62.58,,,True,
stage0,,93c3dc99cbd13972,connection,connection/2/2,0.166667,0.166667,0.3333,57.25,,,False,draw_majority
stage0,,0cc36dc16e94506c,threshold,threshold/4/3,-0.062500,0.000000,0.7083,70.92,,,True,
stage0,,e05d2fb7fce5f7df,threshold,threshold/3/1,0.250000,0.250000,1.0000,35.17,,,True,
stage0,,58577486c5d4dcb6,territory,,,,,,,,False,eval_failed
stage0,,8f31941da94cb40a,threshold,,,,,,,,False,eval_failed
stage0,,bf84117ce2dc3db9,connection,connection/2/1,0.041667,0.041667,0.0833,44.92,,,False,draw_majority
stage0,,4e5675639ebdec08,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,93c7807e16042de4,connection,connection/4/3,0.020833,0.020833,0.1250,58.12,,,False,draw_majority
stage0,,f9b5e1b233172bef,threshold,threshold/3/1,0.479167,0.479167,0.9583,60.50,,,True,
stage0,,a516c8a6cfe39adc,territory,territory/2/1,0.083333,0.083333,0.5000,79.83,,,True,
stage0,,98083216ed9dd5d9,threshold,threshold/4/2,0.062500,0.062500,0.7917,57.38,,,True,
