cell,child_canon,child_t1_floored,child_t1_raw,outcome,parent_canon,parent_t1_floored,parent_t1_raw,step
connection/4/3,488ed77d70453241a7ade8c16322f52cf92ecbe4d1d4f1293e94820356f3cc39,0.27083333333333337,0.27083333333333337,guard_vetoed_tilt,a60d4462eae61b5e57040207fb8cdff0ff16784e5053ce35cac6d69db75a8bee,0.25,0.25,22
territory/4/1,9ca61812c52339cfd799b040111bb77c89a30887e0cf4cfd6e8df295e9e8cddb,0.45833333333333337,0.45833333333333337,lost_first_batch,af20a5d893042a1b54586b9b3402aac515da6134b7b33b29cd9b79c54b23d9a3,0.5,0.5,23
territory/4/4,f1ec88b9658eb63dccbf6513d4c4ea7b1116fffc710c7a9f9aca87db042c35ac,0.0625,0.0625,t1_invalid_draw_majority,3766623b13cfc5b55c9bc78de11aa288bff213391e18da1ceedabe4df0e6c97f,0.41666666666666663,0.41666666666666663,24
connection/2/2,e9a9c812461e166f1e65d1d2838c11de2fc763daa033917ed7f9e17828397f67,0.3125,0.3125,lost_first_batch,d8672edff2a47be5767a0c2fd104f02c75b0d09b3d358aca025d31936569e5b8,0.41666666666666663,0.41666666666666663,25
connection/4/3,d78fee90fc81d699d7046fa37f4cf612ad93fb676d9abd79f074922d54eebfc9,0.375,0.375,replaced,fd130af745a96a78b2196ab1acc51613f44703c821fd98768e074ebbc35982b0,0.5,0.5,26
connection/2/2,7b6d51fe7687359262e41c41a450dc76c9269d16d977715194883664ee1ca798,0.20833333333333337,0.20833333333333337,t1_invalid_draw_majority,866574be004e6346eab9248d64cc5a10198ef3bb913887feffe7380e1184de5e,0.29166666666666663,0.29166666666666663,27
connection/4/0,35688d3757909379b56823c2b1ee40159d2e7b9050446fefd267c4925d9e86df,0.20833333333333337,0.20833333333333337,guard_vetoed_rush,b461c5160c5ed04233dd29faf1100243fd2f73c0799f0650f2fcdae5d56e69cb,0.5,0.5,28
connection/0/0,c9b23c97bfe7f0eaea216016ec31d1312818a090376fbc3a1f1083cad5c32e1b,0.0,0.0,t1_invalid_draw_majority,2a48b047cfedb14c800e37dd3964a081296674b8b37724016f86807037c2812e,0.5,0.5,29
threshold/3/1,62eebdef98ffb5f53d09c896c6b8cfcd8ca41ffd93894d0243dc85f345e6869b,0.08333333333333337,0.08333333333333337,invalid_draw_majority,f6d9a822ddf2a52fcca714adb2e422aea31de052a0b96c574cfc60ce24667364,0.41666666666666663,0.41666666666666663,30
connection/3/2,20feeea50e3126e60f5f7e36489afb54edf7f90b58585e991892772c0e69a855,0.375,0.375,lost_first_batch,d78fee90fc81d699d7046fa37f4cf612ad93fb676d9abd79f074922d54eebfc9,0.375,0.375,31
