substrate,game_id,rerun_idx,go_essence,strategic_depth,non_triviality,strategic_diversity,rule_simplicity,wallclock_seconds,original_ge
carpet,aa6299e181a9,16,0.039483,0.679531,0.263874,1.000000,0.253521,160.2,0.014228
carpet,aa6299e181a9,17,0.018659,0.430444,0.326599,1.000000,0.253521,159.2,0.014228
carpet,aa6299e181a9,18,0.002907,0.456938,0.000000,1.000000,0.253521,153.2,0.014228
carpet,aa6299e181a9,19,0.016344,0.584914,0.163299,1.000000,0.253521,156.5,0.014228
carpet,c438ddfd2f5c,0,0.135882,0.769654,0.993311,0.333333,0.253521,214.8,0.175416
carpet,c438ddfd2f5c,1,0.002291,0.484667,0.000000,0.666667,0.253521,268.2,0.175416
carpet,c438ddfd2f5c,2,0.129916,0.857160,0.498888,1.000000,0.253521,218.4,0.175416
carpet,c438ddfd2f5c,3,0.171263,0.552049,0.662207,1.000000,0.253521,222.2,0.175416
carpet,c438ddfd2f5c,4,0.021392,0.571358,0.384900,1.000000,0.253521,212.5,0.175416
carpet,c438ddfd2f5c,5,0.123578,0.845975,0.666667,0.666667,0.253521,233.0,0.175416
carpet,c438ddfd2f5c,6,0.071734,0.725827,0.290593,0.666667,0.253521,240.6,0.175416
carpet,c438ddfd2f5c,7,0.181156,0.672296,0.824621,1.000000,0.253521,209.2,0.175416
carpet,c438ddfd2f5c,8,0.008281,0.384025,0.192450,1.000000,0.253521,216.1,0.175416
carpet,c438ddfd2f5c,9,0.165979,0.696790,0.666667,1.000000,0.253521,212.8,0.175416
carpet,c438ddfd2f5c,10,0.062411,0.722741,0.266667,1.000000,0.253521,220.2,0.175416
carpet,c438ddfd2f5c,11,0.143764,0.719309,0.516398,0.666667,0.253521,220.6,0.175416
carpet,c438ddfd2f5c,12,0.012304,0.540049,0.384900,1.000000,0.253521,207.6,0.175416
carpet,c438ddfd2f5c,13,0.185768,0.639556,0.527749,0.666667,0.253521,138.3,0.175416
carpet,c438ddfd2f5c,14,0.005898,0.563753,0.000000,1.000000,0.253521,246.1,0.175416
carpet,c438ddfd2f5c,15,0.043511,0.576741,0.577350,1.000000,0.253521,131.6,0.175416
carpet,c438ddfd2f5c,16,0.100478,0.702173,0.576066,0.666667,0.253521,137.9,0.175416
carpet,c438ddfd2f5c,17,0.144600,0.793235,0.966092,0.666667,0.253521,161.8,0.175416
carpet,c438ddfd2f5c,18,0.071582,0.511852,0.305505,1.000000,0.253521,148.6,0.175416
carpet,c438ddfd2f5c,19,0.033989,0.476395,0.577350,0.666667,0.253521,141.3,0.175416
carpet,d995cf010504,0,0.089617,0.494198,0.666667,0.333333,0.253521,112.6,0.093577
carpet,d995cf010504,1,0.041218,0.500148,0.331104,0.666667,0.253521,118.3,0.093577
carpet,d995cf010504,2,0.071873,0.657630,0.333333,0.666667,0.253521,113.0,0.093577
carpet,d995cf010504,3,0.075670,0.701951,0.333333,0.666667,0.253521,120.3,0.093577
carpet,d995cf010504,4,0.130854,0.567802,0.986577,0.333333,0.253521,114.9,0.093577
carpet,d995cf010504,5,0.142357,0.579086,0.657718,0.666667,0.253521,118.7,0.093577
carpet,d995cf010504,6,0.000000,0.508370,0.000000,0.666667,0.253521,115.9,0.093577
carpet,d995cf010504,7,0.069646,0.463605,0.333333,1.000000,0.253521,121.0,0.093577
carpet,d995cf010504,8,0.231796,0.564765,0.662207,1.000000,0.253521,114.7,0.093577
carpet,d995cf010504,9,0.081402,0.693877,0.666667,0.666667,0.253521,115.3,0.093577
carpet,d995cf010504,10,0.244795,0.730444,0.993311,0.666667,0.253521,117.1,0.093577
carpet,d995cf010504,11,0.087384,0.600346,0.666667,0.333333,0.253521,114.1,0.093577
carpet,d995cf010504,12,0.041190,0.519580,1.000000,0.333333,0.253521,120.9,0.093577
carpet,d995cf010504,13,0.097064,0.637704,1.000000,0.666667,0.253521,112.5,0.093577
carpet,d995cf010504,14,0.223906,0.428346,1.000000,0.666667,0.253521,119.1,0.093577
carpet,d995cf010504,15,0.047675,0.533185,0.666667,0.333333,0.253521,117.7,0.093577
carpet,d995cf010504,16,0.041473,0.540272,0.331104,0.333333,0.253521,120.5,0.093577
carpet,d995cf010504,17,0.220605,0.581086,1.000000,1.000000,0.253521,120.2,0.093577
carpet,d995cf010504,18,0.069239,0.462543,0.331104,1.000000,0.253521,122.0,0.093577
carpet,d995cf010504,19,0.053665,0.535506,0.666667,0.000000,0.253521,107.1,0.093577
