key,pod,family,agent_mean,n,n_used,draws,obs_drama,obs_drama_lo,obs_drama_hi,obs_lead_changes,obs_lead_changes_lo,obs_lead_changes_hi,blend,blend_lo,blend_hi,blend_nan_resamples,interaction_rate,interaction_rate_lo,interaction_rate_hi,go_essence
d4015a646ae3,ABOVE,connection,4.1,200,181,19,0.12364206336923492,0.10277833193880341,0.14401217127042318,3.125,2.7798749999999997,3.485,0.49918500640010116,0.375116916809057,0.6023376492788904,0,0.30297554085820855,0.27611707520188883,0.3298341680185542,
s_flip_r2,ABOVE,field_connection,4.1,200,200,0,0.12843760463800125,0.11317480604140394,0.1453550991674993,3.365,3.005,3.735,0.5654016225082854,0.465599083584332,0.6160807058435142,0,0.11866362100142398,0.10346297402082015,0.13362067353596746,
a1_field_connect,ABOVE,field_connection,3.9,200,200,0,0.13216493815722435,0.11569254655144541,0.1497701349068267,3.38,3.064875,3.735,0.5806496459736716,0.48641513499901823,0.6352413050045206,0,0.11270306130174373,0.0986828749079514,0.12790128842669754,
d995cf010504,BUFFER,threshold,3.78,200,194,6,0.0819748807889682,0.06974764935645861,0.09476144448958784,2.475,2.135,2.8402499999999997,0.22786230763696438,0.12196304658270413,0.31754811073714895,0,0.20283362525546295,0.1781570142068091,0.22598650280197866,0.09357742494071734
573562833174,BUFFER,connection,3.78,200,194,6,0.3040881060379537,0.2805666460543431,0.32793197616324815,3.405,2.959875,3.80525,1.0,0.8353153208696068,1.0,0,0.3015172793089889,0.27240534127106436,0.33223230332610293,0.0027435493563790197
b12ff78f1c1d,BUFFER,threshold,3.72,200,188,12,0.08614717320281606,0.07211903773942159,0.10176018006160784,2.465,2.12,2.81025,0.23706801737149474,0.1114647683480725,0.33558428468360174,0,0.24619368311791645,0.2165092264603932,0.27564282540495116,0.15031078862448885
e52e8889517a,BELOW,threshold,3.68,200,200,0,0.0432662061242636,0.03630915716066526,0.05100673790252547,2.02,1.765,2.285,0.008744167556902993,0.0,0.05402485790708964,0,0.08558649340993617,0.07440428598123286,0.09658875129591911,0.20313137765474557
bfd1bb7ced76,BELOW,threshold,3.68,200,200,0,0.0432662061242636,0.0364041252924422,0.05037945227684662,2.02,1.769875,2.265,0.008744167556902993,0.0,0.056767073496394795,0,0.08558649340993617,0.07610744855133411,0.09576242586300303,0.19037294567694682
e1453dac5445,BELOW,threshold,3.66,200,200,0,0.047995721957888815,0.04023197084929568,0.05676794182267209,1.99,1.73975,2.265,0.0,0.0,0.06804104890739258,0,0.08382790768193468,0.07295362305485026,0.09418123249654864,0.18101294903601248
1fea3357dca4,BELOW,threshold,3.5,200,200,0,0.042322177320242675,0.036076320616442295,0.04849533301618259,2.335,2.059625,2.615,0.0,0.0,0.08121956592673284,0,0.12375795790181382,0.10832789461345516,0.13922831974623226,0.2107045688847789
